Actual,Predicted
1490,1076.892300636816
1568,1176.929092159142
1176,694.9705813373507
681,654.0219477291589
1582,1205.6127998598813
909,1047.5813315793364
669,648.0812441651718
1369,1065.7199232741011
943,1028.4877162361379
405,461.7861666608106
960,1053.8471857783927
508,775.0061737506262
408,555.8506292267548
1453,1140.7734711204578
1054,1105.026682362445
699,644.1748499029081
845,994.1219382279585
1760,873.7658325164906
590,770.3311977859644
1705,908.8330734592871
800,987.5016600716247
197,606.3346098745643
1289,1163.5900372420454
393,644.0581716645396
656,768.2610028984213
1685,761.5842499194567
1623,1126.4451279714717
1561,858.3452866417124
745,1105.1522121411817
1415,768.06751631953
524,753.713321922023
70,350.53468388304486
1008,1152.356622210125
1751,1110.3424404012826
917,999.7137171005613
475,863.6248525695265
840,843.8228270671699
865,1031.252770251936
1540,841.9081962740285
565,696.3314017688275
40,724.107644069483
1624,1045.027228975543
1572,1173.5210484173522
452,977.5073899190197
483,972.2069880985888
1135,1082.0865875597392
393,612.5261606153889
319,978.4480578270002
1736,1003.3835824262726
562,849.6492201788922
1349,1079.169497246694
116,377.81467673482234
1229,1110.7059881883465
1502,913.0912232867646
878,960.9582989198367
1610,1105.6396622645138
1505,1103.5290031899278
1727,1103.5290031899278
34,423.45182182818286
1763,969.1619651943079
1515,1158.5153305970075
211,657.3693579161272
296,685.4234396000687
1186,1123.3815742886986
991,1068.658312679127
946,1013.3773520446845
1018,1042.541380082088
1720,733.6068404906015
1006,1008.3893361716981
1058,1109.3794700790124
1118,1036.2106630170438
882,1017.0433422064696
859,994.5858622443311
1072,1005.0974665935364
900,963.9407552558125
1591,1048.9351034464585
804,698.5683459547421
1693,1060.016154592367
601,879.4197201567067
1568,1258.99417097115
1006,1008.5687795938092
300,1072.2543040746566
47,320.0737404540355
614,597.6015822402936
1479,1081.2560723718943
1474,1024.622229448982
878,942.2519322506251
1536,1061.8895944031503
602,731.4787556544309
866,1035.004263934874
901,984.0444195353604
1466,1113.9505455867566
91,1131.8342794589776
757,596.7863288559736
882,1013.4101218674864
1415,728.1733559766293
1522,1126.016284274785
701,994.6358006948562
1690,1463.7219281115977
1156,800.0703340688544
138,888.0451713991446
105,796.7605600240569
1006,1000.2491810046189
34,376.4330882810984
840,931.8433880515332
928,1016.1797129675281
614,580.7607303712979
918,986.2532879443165
1236,1181.5762780565453
585,448.5808645680035
294,625.3317298368895
1670,545.3295416997569
1535,1003.8748037503266
508,611.41435566006
1299,1196.4858326843696
1591,1093.9548297486597
868,1043.7544035279645
781,963.1767901024832
575,650.9994013541842
1685,877.1090691397687
928,1015.6739820199587
103,1089.4250913876317
715,753.7543595586467
956,999.0246478400384
974,1027.010102574179
1006,1008.3893361716981
105,720.8249210205242
911,1027.2134427751805
105,690.960489523148
495,1047.6780744351922
200,715.6014724874368
367,617.1041312542833
618,979.8292948322935
27,834.2998545902249
906,944.3386378300165
982,1059.0550224028866
840,850.1483956358792
500,748.963082837577
618,813.6100016694222
452,880.6464349327583
1756,997.6396357257706
263,845.0028041068192
34,357.62393725945265
105,584.353657369784
970,1059.3901030465047
108,541.0732245540028
763,903.43803487251
891,1059.6669245216822
1551,712.4944734674895
596,1091.2532568919078
1582,1175.7969260761486
1009,1050.7659747339067
917,999.7137171005613
478,760.7135351423343
970,1054.182266422011
1736,805.2175078573232
1461,1086.0815450051953
781,963.1767901024832
916,1161.065373376499
1220,1153.8183031947772
483,1004.2776909295472
956,1025.574733225469
1864,1119.3769433199948
960,1036.7404581361761
865,1059.3901030465047
1464,1035.004263934874
1510,1077.821807056455
1052,1119.8243551217802
1253,911.3411953192689
1727,1111.7648142600244
1551,718.8493126910171
61,767.0986524678971
931,949.1818495082384
1284,1122.318678967552
1289,1054.7853720163178
916,1159.0669924195588
1028,1067.0361681552938
931,1002.9189247469997
614,692.9370937389633
3,579.6440449067167
1664,1129.4973581590953
1832,888.1880178770725
3,846.2902917917963
105,684.5403798281345
882,1022.0132669448504
87,832.7981406436589
1149,1002.0485221678431
1256,979.9462402684599
299,935.5334993906501
614,580.7454425704576
585,805.2378797527915
1685,817.0616174157116
239,570.2040731180658
125,774.732812609544
1458,1029.752494055938
525,809.916306709664
960,1051.0095790940481
1064,1037.8663460534083
614,583.1948668892703
585,452.78408804709875
579,704.0779604818315
102,617.0674631211184
34,506.4935149567766
30,676.9989802947864
964,1066.0770390832517
1002,1079.2824367114833
947,1031.6924475229223
105,529.0186649547686
1122,1053.2573158243126
1792,1232.889512489799
1445,897.6087873724703
1827,728.2364697258771
865,1010.1679361225454
524,821.8400471242546
1151,1157.7364121972614
509,1007.5407118278011
806,995.4282636608161
1832,822.2517942749208
585,553.0294814969411
105,697.5014156611142
1113,1169.1669717143645
1832,1013.3702926525334
138,714.0838418608015
970,1010.1679361225454
1132,1030.4892585636815
1164,1166.903679370801
1285,1118.351504869039
323,625.0748198547344
1220,1104.3119264010318
361,704.7912494197814
33,1048.4078608326577
593,1070.1184279338154
393,755.5936912487616
781,994.7492933273409
601,570.4178796247568
562,754.7861276454191
405,440.05604378402035
1186,1127.06359568153
1002,1050.6601541519994
1599,1050.7219163069208
913,1039.5055121519745
47,358.28827025931525
1306,1033.1104713621762
542,563.5582690247309
76,697.3575278298567
1006,1008.5687795938092
65,518.5920948066517
1035,1000.5801040494292
364,713.7255744290444
882,1016.0462373665137
882,1017.3955990686413
845,993.3438953974536
900,953.6140653844782
614,583.1948668892703
1000,992.2751209790648
312,1158.0137659089855
105,665.422345665907
802,896.6757676181551
1430,973.3492476776887
542,662.989219808652
673,1007.5407118278011
59,1089.305279191139
618,825.7219198154182
1690,1323.992067631854
585,467.36424632729484
1527,861.3564530129381
688,738.6929735555481
942,1084.205409013255
913,1059.432020522233
915,1048.1692547657979
47,431.9619018763509
630,643.0832311873048
484,683.6286739578676
1551,803.2632591217164
1186,1168.2162599675082
495,936.855618927028
854,1002.2563931073753
590,680.1699400048002
1663,1182.3533402920425
34,521.7465299086512
138,857.6075881059755
1118,1064.0176935605646
24,768.8757507283203
507,745.90739245542
1730,1028.940326032005
538,962.3503823779124
1479,986.4445900334962
1084,1159.9806741740272
960,1054.224183897739
105,637.7319083375128
913,1048.257168291722
923,1139.2148704245544
590,621.350947459923
483,1071.269739696602
482,579.1925357824575
618,966.175390186771
612,654.719305179023
1394,1067.2316613759829
1132,1019.5511520071667
860,1031.881136310378
845,987.5416037697348
928,1028.3549345574822
932,1086.3741656367308
1645,1192.2518167610024
918,988.490419121434
1163,1120.4725618126365
851,1001.2704793373382
1831,785.0889132913243
393,521.9527255547484
1065,1006.3314994367726
1163,1135.1327405113393
888,986.8339470726788
917,1002.2229403299855
436,499.07368422851874
616,956.6400072460634
1861,1446.6191050048656
149,502.2449934906131
70,470.89730540831476
806,986.0376653832158
574,968.5911469071748
1582,1132.4691852914361
896,1006.2047505613975
746,661.9736477585659
840,834.5696399166784
913,1058.082658820105
882,967.4463453951635
921,965.8132961529592
70,311.798724071032
1020,1031.0144751517225
555,546.6211348058515
190,738.286534274504
807,888.2511080982792
632,907.7279282224526
1059,1117.1301751409585
1098,1189.6753029438892
928,1014.9516318436954
1568,1303.7456482657094
34,430.75366160196944
1034,1052.2439693732626
478,833.8261560375295
234,696.8852574542514
904,1027.7264271682136
34,334.6333093735914
34,390.3595423476875
845,1002.0485221678431
53,663.3011494544045
201,460.51826644102124
898,966.1372406006021
1491,943.5024868262215
1009,1098.126459953118
690,876.003692542429
1260,813.1611681921895
678,667.8600595575595
436,457.18054257941026
621,645.873183487485
84,784.8343534050541
596,1182.7395987185803
111,888.4129705311366
1832,885.7875630409076
666,710.5087463999371
906,933.7794464114934
614,576.6841824977412
268,954.8094109336931
900,956.0579739016007
603,730.4801191258329
960,1048.1692547657979
228,820.7669434632807
960,1049.2294752933828
334,560.8438560682707
1832,838.910046329139
281,668.5790114984937
970,1059.3901030465047
520,661.8627354269556
1255,1037.9273218354992
452,818.6490185278919
970,1011.0374731120315
246,860.5093950550673
1284,1116.1581071892965
949,1043.9295633739537
201,405.8058780040238
694,672.2154318214031
1590,1079.1387035570544
1640,908.4756617823193
1354,1165.8197021044864
1491,986.4901261716866
917,999.7137171005613
361,662.9688311120932
885,1050.3455765161198
610,866.703364591383
393,529.1400006394284
1586,837.2386106141277
964,1129.991250150048
1844,892.2702028387773
47,529.0884499062191
1445,1004.3698770071527
201,336.4942664055736
1006,1020.0936235028173
1815,1062.6708502127794
865,1031.252770251936
105,757.2708163586955
27,696.8671702474261
1790,1147.2440717065003
1861,1449.8267591762308
1066,1153.9915022512848
1804,814.8164282660225
442,674.3441086131768
123,650.4265183179533
799,926.2923852229945
868,1014.6169965295468
1644,987.5099657870908
1226,1167.8206066732369
414,614.5028644662337
1179,1074.6871273324607
1074,1053.3517467968675
845,1003.1478602897192
82,1128.9315192334332
1491,924.3023415914822
868,1077.0139066865804
575,835.1398680293016
393,675.701317013747
1237,1058.2689048840275
24,757.9994030678462
1792,1226.6765124897988
593,1046.3349963178991
1699,1309.5786889838216
671,1070.0341332558453
1415,826.011393930582
1371,1155.8930399604733
567,666.5974172239808
38,1007.8601280822019
1324,640.0994857605624
913,1044.67765007825
1081,1018.7909839953771
1289,1156.2590454638914
991,1061.074257562457
1520,712.3276416293774
1148,1158.404515022717
508,738.485777019837
1853,805.602880063154
1694,1040.7321084722562
1645,1192.2518167610024
13,734.3243123525431
614,548.3427194369465
1728,970.0617867244612
1223,1147.842451736192
954,994.7792647461638
34,515.0328784967719
614,627.4925224578171
1658,1364.1296955215416
1044,1171.5835243593322
806,997.4124568821866
1386,1150.254676001118
246,843.0724780195447
900,931.3837102717168
1453,1140.7734711204578
408,555.8506292267548
405,474.1118232732624
508,662.9753446583699
451,508.2351201620864
585,694.1725259190321
1551,825.7313390782122
402,1078.590410807381
845,987.939220491777
1453,1208.4428411651259
1232,1092.3457496637996
694,641.9009068409508
1048,1157.3359411033405
1074,1056.8241486580985
982,1017.8332099005318
900,932.3818192731237
34,362.79489740438015
1821,1141.3338538313076
105,721.6019535102824
241,627.2972940479457
487,626.1133094877044
3,711.3524966616253
1377,1145.366537071781
54,662.1671599666666
34,679.1459050236388
1104,1006.494699227545
316,663.9667499987636
958,966.7382615283974
509,1064.8313409693128
1798,1474.712098844936
1234,1040.8252257995243
931,972.9631096398765
1199,984.3886306999384
906,943.0003683783818
1453,1204.0139980936722
1453,1179.06987528551
1127,1008.2204591101098
1625,649.4296634377599
138,762.6860663187763
900,951.6166255322855
1009,1048.2496030036648
585,725.5094988642643
382,505.33539332209443
1233,1084.4132799527874
1764,1179.6475837315936
1365,1181.5820744267357
230,742.6010223517366
316,678.3051798875822
845,994.1219382279585
982,1047.4272784750374
702,674.2663846112588
1009,1103.276134667876
905,982.1728017549929
57,781.3574136829618
984,979.2769372414883
27,762.3689392711073
1831,709.9921406871601
1409,964.5326615983871
614,631.0251218291502
34,482.86738515236453
1811,943.5579038216127
614,657.6317025073974
960,1052.2556158573527
860,1010.129597485414
1453,1201.953002005278
585,479.3497988552079
898,970.3051365283974
452,853.4281863627588
991,1062.119300703422
485,1118.4441581512222
1123,696.8453165554876
647,652.401815250208
408,529.875465422311
916,1158.8937933630511
669,556.178582473167
859,993.6556411285353
316,545.3554173606674
956,1025.574733225469
405,461.0535756592674
176,999.7707378358642
669,768.9859342255903
295,600.5433063900972
34,311.9052073399548
272,868.0524057848936
1006,1008.7335110759639
1009,1086.6142583392584
242,933.2162328269396
614,580.7607303712979
1009,1045.4845489878667
393,733.4013494218723
952,992.8266877252114
28,1102.0388761014242
708,990.7968272944325
7,1072.6457938817132
943,1030.414597922378
882,970.0399734265025
848,900.6754105895425
299,857.4838815922526
878,943.6126657783919
34,469.1347323694514
414,611.7919446363486
806,986.0376653832158
925,979.0415726783679
1792,1365.0626045590348
399,627.1032205901843
116,402.90922339249397
414,602.5865269873412
1453,1204.8521704232303
792,870.0391645371984
49,901.4713871457052
1284,1166.3085413477297
146,898.0614307251527
960,1059.432020522233
289,741.9550550578434
34,594.2983048545766
495,994.9767523422915
1202,928.8546466478801
542,854.8404531669175
1427,1011.0374731120315
865,1060.8239375196677
160,1186.8374141676948
321,707.7841960563893
47,549.373740209691
1176,710.0786855757707
153,1151.6208288207492
591,648.4374579470447
105,665.9804916177134
351,518.3682316425983
1757,787.3394908781308
655,1181.4094102380952
1009,1093.4175490374466
960,1051.0095790940481
1508,1064.6020453018446
1255,1026.328427661828
1006,1005.4749073594726
865,1059.3901030465047
405,487.0100709818302
991,1050.4676097294214
411,619.5057110941098
781,965.4563729204065
906,955.474424921327
1223,1172.6175370840022
576,720.6152827770552
851,997.996038899585
1643,867.9473429750379
603,758.5908916504179
575,649.1602296148261
906,946.2811918357088
316,616.4472669248098
220,732.1672569654111
1152,1147.564896835479
1491,1115.077890928779
970,1011.0374731120315
1685,876.7877172570577
530,993.692964347992
72,307.98324308537474
1131,1184.5308604601726
491,1002.9877718108232
845,1005.2685191358022
1033,1059.432020522233
542,633.0782475045892
407,613.6700468854591
590,663.2436595676834
508,762.53030122653
299,886.6302431677318
866,982.1728017549929
1018,1039.1682366221723
880,1051.2976432018825
585,448.5808645680035
1734,921.0308693474253
745,935.8861647830286
246,771.8728965788493
900,948.7689715912239
1072,1008.2204591101098
593,968.5911469071748
918,1013.1079932247088
1089,1072.6517086396202
1461,1074.888358840991
1685,711.0340138328253
116,491.3390523523143
773,792.9042355872075
1068,1183.5738767086596
34,711.1807330995076
656,762.8986718555793
1074,1067.2316613759829
1531,890.3740750103993
1568,1275.4639393241685
1832,1017.9315753053635
168,950.5951878479287
34,739.6399373682332
1341,1117.9382322876795
54,538.6464843532408
34,565.05006019677
911,1027.2134427751805
1378,740.5096855022655
681,628.7475671319743
316,526.7275597800668
1315,947.5108870981262
1323,733.6068404906015
900,957.4307549380444
562,718.7256084204543
585,771.3351290053647
1474,983.875973210401
1009,1163.0774173420518
992,1153.9933886755891
1189,1163.1290354047278
1145,1045.4845489878667
34,731.2134421044439
1035,1014.4573549268364
248,1026.5211140640613
558,1073.107491188935
1132,1058.886876608257
1474,1018.84555472726
845,1001.7984985875916
428,645.5355739556863
609,984.3993309948372
542,662.7375218438523
474,742.1799430531564
105,746.687334376292
882,967.4390089087614
596,943.3103025451517
1052,1081.7012305046942
1064,854.4862483114193
774,950.7228983638415
34,457.4821150444026
357,929.2944800783694
943,1031.252770251936
627,1095.151663322076
575,523.9750977506549
1479,1084.8276367917586
1498,1051.7117260131804
1453,1056.2010643299882
1748,1094.6494977218517
847,765.8392434767286
800,986.8163705742519
1091,1078.6309429656947
1220,1161.7017403187185
1704,745.1146202286258
851,993.1174618986701
495,1081.7077041516113
1006,1005.4749073594726
495,979.3648771158533
585,683.284917420112
904,1011.502280879152
258,654.1956725517457
608,978.955999042945
1127,1006.6290892666162
361,541.1491631231097
1858,658.2860343723286
428,826.7849557819823
1277,1161.4690471033564
1202,1162.1560111123558
427,933.5730499227581
937,1037.0032801010211
966,1046.6911815304895
451,468.29070272228734
268,954.2444178589316
906,950.898805448948
250,677.4668810484791
170,581.7628311452527
1760,938.3798056466965
